,Boat Type,Manufacturer,Type,Year Built,Price (EUR),Length,Width,Material,Number of views last 7 days,Location
106,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,10400,6.0,2.3,GRP,418,Switzerland
116,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,11000,6.18,2.42,GRP,256,Switzerland
117,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,11000,7.0,1.9,Wood,230,Switzerland
118,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,11000,6.0,1.6,GRP,182,Switzerland
132,Sport Boat,Bayliner power boats,Used boat,1988,11000,6.3,2.34,GRP,284,Italy
134,Cabin Boat,Stingray power boats,Used boat,1997,11000,6.5,2.4,GRP,229,Italy
135,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,11000,7.03,2.54,PVC,226,France
138,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,11000,6.13,2.39,GRP,175,Italy
139,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,11000,7.8,2.59,GRP,173,Italy
140,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,11000,6.0,2.4,GRP,422,Spain
141,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,11000,7.4,2.5,GRP,243,Germany
142,Sport Boat,Bayliner power boats,Used boat,1987,11000,7.62,2.97,GRP,254,Netherlands
143,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,10999,5.07,2.12,GRP,150,Germany
144,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,10999,5.1,2.1,GRP,255,Germany
145,Sport Boat,Remus power boats,new boat from stock,2020,10999,5.2,2.22,GRP,179,Germany
147,Cabin Boat,Polar power boats,Diesel,1977,10990,6.7,2.3,GRP,136,Germany
148,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,12000,7.75,2.75,PVC,141,France
149,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,12000,6.43,2.25,GRP,442,Serbia
150,Cabin Boat,,"Used boat,Unleaded",1973,12000,7.0,1.9,Wood,241,Germany
151,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,12000,6.5,2.2,GRP,327,Germany
152,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,12000,6.16,2.49,Plastic,188,Italy
154,Cabin Boat,,"Used boat,Unleaded",1970,12000,7.75,2.65,Steel,370,Netherlands
157,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,12950,5.3,2.39,GRP,284,Switzerland
162,Runabout,Larson power boats,"Used boat,Unleaded",1994,13888,5.8,2.47,,333,Switzerland
164,Sport Boat,Four Winns power boats,Used boat,1994,12800,6.4,2.36,,235,Belgium
171,Trawler,,"Used boat,Diesel",1973,12500,8.5,3.1,Steel,177,Netherlands
172,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,12500,14.7,3.65,Steel,235,Germany
173,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,12500,5.6,2.2,GRP,452,Italy
174,Cabin Boat,Compromis power boats,Used boat,1983,12500,7.2,2.85,GRP,165,Netherlands
175,"Classic,Launch",,Used boat,1965,12500,6.12,2.22,Wood,160,Netherlands
176,"Classic,Launch",,Used boat,1950,12500,6.0,2.2,Wood,162,Netherlands
178,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,14800,7.05,2.5,GRP,436,Switzerland
181,Sport Boat,Eolo power boats,new boat from stock,2019,13566,5.7,2.1,,214,Germany
182,Pilothouse,Draco power boats,"Used boat,Unleaded",1992,14500,6.77,2.28,,760,Switzerland
183,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,13500,5.95,2.48,GRP,121,Italy
184,Sport Boat,,"Used boat,Unleaded",1997,13500,6.4,2.54,GRP,222,Italy
185,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,13500,6.16,2.48,PVC,110,France
187,Sport Boat,Lema power boats,"Used boat,Diesel",1996,13500,7.0,2.0,PVC,264,Spain
188,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,13500,5.45,2.15,GRP,109,Italy
189,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,13500,8.8,2.79,GRP,132,Croatia
191,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,13500,6.5,2.44,Steel,262,France
192,Launch,,"Used boat,Unleaded",1963,13500,6.0,2.4,Wood,214,Netherlands
195,Fishing Boat,Smartliner power boats,new boat on order,2020,15600,5.76,2.25,GRP,292,Switzerland
